Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Pos9,Pos10,Pos11,Pos12,Pos13,Pos14,Pos15,Pos16,target
0,4,0,0,0,4,0,1,0,0,0,0,0,0,0,0,-0.6215868347286199
1,0,1,0,4,0,3,0,0,0,0,0,3,0,1,0,-0.09477673781767056
0,1,0,0,0,3,0,0,0,2,0,0,0,0,0,0,-0.7232659871719174
0,3,2,0,0,0,1,0,0,3,0,0,0,0,3,3,0.32394922066930226
0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,-0.75689216357049
0,4,0,0,3,0,3,0,0,0,0,4,0,0,3,0,0.4736657679677035
0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,2,-0.7248672336670906
0,0,0,0,0,0,0,0,3,2,0,0,0,1,0,0,-0.8457613440524295
0,2,2,0,0,0,2,0,0,0,0,1,0,4,0,1,-0.3325618423504225
0,0,0,0,0,0,0,1,0,4,2,0,0,0,0,0,0.2526937516342356
0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,-0.8978018551454549
0,0,0,4,4,0,0,0,4,0,0,0,0,0,0,0,-0.025923138525356767
0,2,0,0,0,0,3,0,1,3,0,0,0,1,1,0,-0.3429699445690275
1,2,0,0,0,0,1,0,0,4,0,0,0,0,3,0,-0.6063749930245045
0,0,0,0,0,0,0,0,1,3,0,2,0,0,0,0,-0.7128578849533124
3,0,0,0,0,0,4,3,0,0,0,0,0,0,4,3,1.088544422113008
2,0,0,3,4,0,0,0,0,1,0,0,0,0,0,0,0.11818904603994979
0,3,3,0,0,0,4,0,4,2,3,0,0,0,0,0,0.5144975535945394
0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,3,-0.23648705264021963
0,0,0,0,0,0,0,0,3,0,0,1,0,2,0,1,0.2206688217308316
0,0,0,0,0,0,0,0,3,0,0,1,0,0,3,0,-0.7008485362395387
0,3,1,2,0,0,0,0,4,4,0,0,0,0,0,1,0.27671244906178744
0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,-0.5519326121887218
0,0,0,1,2,0,2,1,0,0,2,0,0,0,2,0,0.20145386378879468
